Name: Luis Angel Cabral Guzman
Date: 2021-07-20

COMBINATION ID., IMAGE NUMBER., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, TTC LIDAR, TTC CAMERA, 
1, 0, HARRIS, BRISK, 1, 6.64187e-317, 0
1, 1, HARRIS, BRISK, 6, 6.57252e-317, 0
1, 2, HARRIS, BRISK, 4, 6.57288e-317, 0
1, 3, HARRIS, BRISK, 4, 6.59903e-317, 0
1, 4, HARRIS, BRISK, 10, 6.63657e-317, 0
1, 5, HARRIS, BRISK, 7, 6.63707e-317, 0
1, 6, HARRIS, BRISK, 8, 6.63781e-317, 0
1, 7, HARRIS, BRISK, 10, 6.64106e-317, 0
1, 8, HARRIS, BRISK, 5, 1.72635e+243, 0
1, 9, HARRIS, BRISK, 4, 7.89235e+34, 0
1, 10, HARRIS, BRISK, 12, 4.2451e+175, 0
1, 11, HARRIS, BRISK, 5, 4.25101e+228, 0
1, 12, HARRIS, BRISK, 5, 0, 0
1, 13, HARRIS, BRISK, 5, 0, 0
1, 14, HARRIS, BRISK, 5, 5.28561e+180, 0
1, 15, HARRIS, BRISK, 8, 2.57383e+185, 0
1, 16, HARRIS, BRISK, 9, 9.88131e-324, 0
1, 17, HARRIS, BRISK, 1, 0, 0

2, 0, HARRIS, BRIEF, 1, 6.64187e-317, 0
2, 1, HARRIS, BRIEF, 6, 6.57252e-317, 0
2, 2, HARRIS, BRIEF, 4, 6.57288e-317, 0
2, 3, HARRIS, BRIEF, 4, 6.59903e-317, 0
2, 4, HARRIS, BRIEF, 10, 6.63657e-317, 0
2, 5, HARRIS, BRIEF, 7, 6.63707e-317, 0
2, 6, HARRIS, BRIEF, 8, 6.63781e-317, 0
2, 7, HARRIS, BRIEF, 10, 6.64106e-317, 0
2, 8, HARRIS, BRIEF, 5, 1.72635e+243, 0
2, 9, HARRIS, BRIEF, 4, 7.89235e+34, 0
2, 10, HARRIS, BRIEF, 12, 4.2451e+175, 0
2, 11, HARRIS, BRIEF, 5, 4.25101e+228, 0
2, 12, HARRIS, BRIEF, 5, 0, 0
2, 13, HARRIS, BRIEF, 5, 0, 0
2, 14, HARRIS, BRIEF, 5, 5.28561e+180, 0
2, 15, HARRIS, BRIEF, 8, 2.57383e+185, 0
2, 16, HARRIS, BRIEF, 9, 9.88131e-324, 0
2, 17, HARRIS, BRIEF, 1, 0, 0

3, 0, HARRIS, ORB, 1, 6.64187e-317, 0
3, 1, HARRIS, ORB, 6, 6.57252e-317, 0
3, 2, HARRIS, ORB, 4, 6.57288e-317, 0
3, 3, HARRIS, ORB, 4, 6.59903e-317, 0
3, 4, HARRIS, ORB, 10, 6.63657e-317, 0
